Custid,Dayswus,Age,Edu,Income,Freq,Recency,Monetary,LTV,Perdeal,Dryred,Sweetred,Drywh,Sweetwh,Dessert,Exotic,WebPurchase,WebVisit,YearsAsCustomer,logIncome,logLTV,FrequencyScore,RecencyScore,MonetaryScore,RFM
3558,579.0,32.0,15.0,55151.0,1.0,345.0,19.0,-2.0,62.0,24.0,23.0,29.0,4.0,21.0,10.0,45.0,5.0,1.6,10.917830156883532,0.0,1,1,1,3
3559,646.0,37.0,17.0,56307.0,2.0,99.0,35.0,-1.0,54.0,69.0,2.0,25.0,1.0,3.0,14.0,50.0,5.0,1.8,10.93857414032436,0.0,1,1,1,3
3560,1062.0,35.0,18.0,59708.0,23.0,48.0,1023.0,291.0,11.0,38.0,2.0,37.0,12.0,12.0,3.0,43.0,8.0,2.9,10.99722129375313,5.673323267171493,3,3,3,9
3561,974.0,23.0,17.0,24570.0,4.0,19.0,50.0,4.0,35.0,11.0,16.0,52.0,2.0,19.0,38.0,67.0,8.0,2.7,10.109281465515226,1.3862943611198906,1,4,1,6
3562,992.0,47.0,15.0,80478.0,19.0,80.0,772.0,183.0,30.0,69.0,1.0,23.0,5.0,3.0,16.0,47.0,6.0,2.7,11.295739134130145,5.209486152841421,3,1,3,7
3563,665.0,66.0,19.0,98438.0,27.0,2.0,1282.0,565.0,2.0,58.0,4.0,35.0,1.0,3.0,1.0,17.0,2.0,1.8,11.49718218735427,6.336825731146441,4,4,4,12
3564,1210.0,30.0,16.0,35876.0,1.0,114.0,18.0,-4.0,89.0,44.0,1.0,38.0,9.0,8.0,23.0,67.0,9.0,3.3,10.487823827237893,0.0,1,1,1,3
3565,1107.0,45.0,17.0,44763.0,2.0,55.0,40.0,-4.0,58.0,74.0,1.0,23.0,1.0,1.0,22.0,51.0,7.0,3.0,10.709137184308531,0.0,1,2,1,4
3566,1177.0,28.0,16.0,51045.0,2.0,92.0,41.0,-1.0,56.0,27.0,3.0,58.0,8.0,4.0,6.0,63.0,8.0,3.2,10.840462875603116,0.0,1,1,1,3
3567,1205.0,55.0,16.0,88974.0,21.0,33.0,885.0,335.0,18.0,42.0,18.0,22.0,5.0,12.0,16.0,20.0,3.0,3.3,11.396099471203124,5.814130531825066,3,3,3,9
3568,559.0,27.0,17.0,39076.0,3.0,18.0,27.0,-7.0,93.0,32.0,23.0,39.0,0.0,6.0,17.0,61.0,5.0,1.5,10.573263746772833,0.0,1,4,1,6
3569,904.0,44.0,18.0,56316.0,1.0,431.0,19.0,-2.0,62.0,83.0,1.0,15.0,1.0,0.0,10.0,53.0,6.0,2.5,10.938733965582419,0.0,1,1,1,3
3570,1215.0,25.0,15.0,23687.0,4.0,17.0,44.0,-15.0,87.0,33.0,14.0,17.0,28.0,8.0,51.0,33.0,5.0,3.3,10.072681653422581,0.0,1,4,1,6
3571,1017.0,18.0,12.0,24782.0,3.0,1.0,66.0,6.0,42.0,23.0,5.0,23.0,24.0,25.0,30.0,26.0,5.0,2.8,10.117872862176439,1.791759469228055,1,4,2,7
3572,762.0,47.0,17.0,63796.0,8.0,27.0,220.0,61.0,27.0,90.0,1.0,7.0,1.0,1.0,22.0,45.0,6.0,2.1,11.063445771442645,4.110873864173311,2,3,2,7
3573,1161.0,47.0,18.0,64947.0,14.0,52.0,490.0,99.0,21.0,88.0,0.0,11.0,1.0,0.0,2.0,47.0,7.0,3.2,11.08132683165554,4.59511985013459,3,3,3,9
3574,810.0,31.0,16.0,32217.0,2.0,3.0,16.0,-3.0,89.0,30.0,8.0,45.0,7.0,10.0,16.0,51.0,4.0,2.2,10.380249542526327,0.0,1,4,1,6
3575,983.0,58.0,19.0,61633.0,12.0,33.0,384.0,109.0,11.0,72.0,0.0,19.0,8.0,1.0,2.0,25.0,3.0,2.7,11.028952720363655,4.6913478822291435,2,3,2,7
3576,1175.0,44.0,18.0,59347.0,18.0,39.0,703.0,124.0,35.0,73.0,1.0,19.0,5.0,2.0,2.0,45.0,8.0,3.2,10.991156851161252,4.820281565605037,3,3,3,9
3577,1099.0,77.0,17.0,112668.0,42.0,73.0,2225.0,1028.0,1.0,70.0,0.0,25.0,4.0,1.0,0.0,11.0,3.0,3.0,11.632200720046548,6.93537044601511,4,2,4,10
3578,859.0,75.0,15.0,105348.0,29.0,71.0,1412.0,474.0,1.0,22.0,13.0,41.0,14.0,10.0,8.0,15.0,2.0,2.4,11.565024434714209,6.161207321695077,4,2,4,10
3579,984.0,66.0,15.0,106142.0,33.0,37.0,1669.0,1021.0,1.0,27.0,8.0,57.0,8.0,0.0,13.0,10.0,1.0,2.7,11.572533099241856,6.928537818164665,4,3,4,11
3580,856.0,52.0,20.0,64638.0,12.0,50.0,395.0,-48.0,62.0,79.0,0.0,20.0,1.0,0.0,6.0,34.0,4.0,2.3,11.076557752122248,0.0,2,3,3,8
3581,1084.0,67.0,17.0,85679.0,31.0,1.0,1540.0,664.0,3.0,35.0,11.0,53.0,1.0,0.0,2.0,13.0,3.0,3.0,11.35836303371832,6.498282149476434,4,4,4,12
3582,555.0,35.0,15.0,51046.0,1.0,496.0,11.0,-5.0,85.0,24.0,0.0,54.0,15.0,6.0,15.0,36.0,2.0,1.5,10.840482465968575,0.0,1,1,1,3
3583,1162.0,45.0,17.0,55928.0,21.0,17.0,896.0,52.0,42.0,68.0,2.0,26.0,2.0,2.0,4.0,51.0,9.0,3.2,10.931820428191822,3.9512437185814275,3,4,3,10
3584,862.0,34.0,17.0,40572.0,2.0,81.0,26.0,-3.0,69.0,50.0,2.0,35.0,9.0,4.0,30.0,63.0,7.0,2.4,10.610833452495886,0.0,1,1,1,3
3585,1232.0,39.0,18.0,62064.0,17.0,91.0,655.0,230.0,6.0,43.0,10.0,30.0,7.0,10.0,11.0,48.0,7.0,3.4,11.035921389679748,5.438079308923196,3,1,3,7
3586,931.0,56.0,16.0,97602.0,11.0,59.0,337.0,121.0,15.0,44.0,18.0,15.0,20.0,3.0,15.0,42.0,3.0,2.6,11.48865326399451,4.795790545596741,2,2,2,6
3587,946.0,19.0,13.0,23064.0,7.0,0.0,180.0,-1.0,51.0,8.0,36.0,23.0,19.0,13.0,31.0,53.0,8.0,2.6,10.046028239318238,0.0,2,4,2,8
3588,1137.0,49.0,16.0,69261.0,13.0,78.0,438.0,179.0,14.0,79.0,3.0,16.0,0.0,2.0,21.0,50.0,6.0,3.1,11.145637256200434,5.187385805840755,3,2,3,8
3589,1097.0,53.0,14.0,78476.0,20.0,96.0,830.0,212.0,19.0,70.0,3.0,23.0,1.0,3.0,7.0,49.0,7.0,3.0,11.270548124540719,5.356586274672012,3,1,3,7
3590,1152.0,32.0,17.0,46722.0,15.0,89.0,544.0,14.0,45.0,50.0,1.0,44.0,1.0,4.0,18.0,64.0,9.0,3.2,10.751970424805041,2.6390573296152584,3,1,3,7
3591,1120.0,33.0,20.0,41995.0,6.0,22.0,149.0,16.0,28.0,73.0,1.0,19.0,7.0,1.0,3.0,57.0,8.0,3.1,10.645305842559727,2.772588722239781,2,4,2,8
3592,1073.0,30.0,14.0,41407.0,2.0,99.0,40.0,0.0,50.0,14.0,25.0,34.0,5.0,22.0,41.0,69.0,8.0,2.9,10.631205227646237,0.0,1,1,1,3
3593,798.0,74.0,19.0,119029.0,29.0,45.0,1414.0,622.0,0.0,45.0,6.0,40.0,6.0,4.0,7.0,13.0,1.0,2.2,11.68712243988325,6.432940092739179,4,3,4,11
3594,912.0,34.0,16.0,53878.0,7.0,2.0,185.0,10.0,42.0,35.0,1.0,51.0,7.0,6.0,38.0,64.0,7.0,2.5,10.894477510310484,2.302585092994046,2,4,2,8
3595,758.0,67.0,19.0,89411.0,22.0,99.0,960.0,347.0,4.0,49.0,1.0,42.0,2.0,6.0,5.0,18.0,2.0,2.1,11.40099899609809,5.849324779946859,3,1,3,7
3596,965.0,50.0,16.0,77153.0,10.0,44.0,306.0,19.0,42.0,64.0,3.0,27.0,5.0,1.0,23.0,47.0,5.0,2.6,11.253545742323693,2.9444389791664403,2,3,2,7
3597,638.0,55.0,18.0,97063.0,17.0,13.0,644.0,152.0,12.0,43.0,9.0,23.0,5.0,20.0,4.0,46.0,4.0,1.7,11.4831155311978,5.0238805208462765,3,4,3,10
3598,632.0,71.0,19.0,94629.0,27.0,0.0,1275.0,520.0,3.0,62.0,2.0,34.0,2.0,0.0,0.0,13.0,2.0,1.7,11.457719261973125,6.253828811575473,4,4,4,12
3599,728.0,47.0,19.0,62290.0,10.0,38.0,302.0,83.0,10.0,86.0,0.0,12.0,1.0,1.0,11.0,47.0,6.0,2.0,11.03955617824819,4.418840607796598,2,3,2,7
3600,681.0,76.0,19.0,111165.0,28.0,17.0,1342.0,398.0,2.0,58.0,3.0,34.0,5.0,0.0,12.0,14.0,1.0,1.9,11.61877086305357,5.986452005284438,4,4,4,12
3601,681.0,75.0,15.0,95847.0,19.0,59.0,767.0,299.0,2.0,24.0,6.0,26.0,8.0,36.0,2.0,13.0,1.0,1.9,11.470508449079432,5.700443573390687,3,2,3,8
3602,1026.0,19.0,13.0,34205.0,3.0,83.0,64.0,4.0,36.0,6.0,48.0,16.0,26.0,4.0,42.0,56.0,8.0,2.8,10.440127111195098,1.3862943611198906,1,1,1,3
3603,880.0,58.0,15.0,95407.0,22.0,6.0,961.0,250.0,12.0,46.0,11.0,30.0,9.0,5.0,13.0,28.0,3.0,2.4,11.4659072300066,5.521460917862246,3,4,3,10
3604,1063.0,33.0,15.0,38853.0,2.0,44.0,40.0,1.0,48.0,30.0,5.0,50.0,14.0,2.0,22.0,64.0,8.0,2.9,10.567540572891696,0.0,1,3,1,5
3605,593.0,54.0,15.0,71817.0,13.0,4.0,439.0,107.0,24.0,91.0,1.0,7.0,1.0,1.0,7.0,51.0,7.0,1.6,11.181876495813235,4.672828834461906,3,4,3,10
3606,676.0,52.0,15.0,84983.0,10.0,52.0,302.0,16.0,45.0,43.0,8.0,36.0,4.0,9.0,20.0,33.0,3.0,1.9,11.350206515469786,2.772588722239781,2,3,2,7
3607,1056.0,62.0,16.0,101754.0,21.0,84.0,900.0,291.0,10.0,25.0,21.0,34.0,20.0,1.0,3.0,27.0,3.0,2.9,11.530313414571456,5.673323267171493,3,1,3,7
3608,1083.0,43.0,16.0,71620.0,20.0,44.0,823.0,341.0,13.0,58.0,3.0,37.0,0.0,2.0,31.0,39.0,5.0,3.0,11.179129643552423,5.831882477283517,3,3,3,9
3609,1203.0,47.0,15.0,74105.0,19.0,61.0,767.0,200.0,16.0,82.0,2.0,14.0,2.0,0.0,15.0,43.0,7.0,3.3,11.213238285391016,5.298317366548036,3,2,3,8
3610,795.0,40.0,19.0,76767.0,16.0,57.0,605.0,-8.0,51.0,89.0,0.0,10.0,1.0,0.0,0.0,58.0,8.0,2.2,11.248530139293637,0.0,3,2,3,8
3611,614.0,34.0,18.0,53465.0,3.0,70.0,50.0,4.0,41.0,52.0,5.0,42.0,1.0,1.0,7.0,61.0,6.0,1.7,10.886782513190758,1.3862943611198906,1,2,1,4
3612,983.0,61.0,19.0,99729.0,30.0,20.0,1469.0,371.0,15.0,47.0,4.0,44.0,5.0,0.0,9.0,29.0,5.0,2.7,11.510211786272546,5.916202062607435,4,4,4,12
3613,1196.0,48.0,16.0,65458.0,13.0,6.0,433.0,58.0,38.0,87.0,0.0,9.0,2.0,2.0,16.0,43.0,6.0,3.3,11.089163994578948,4.060443010546419,3,4,3,10
3614,644.0,75.0,15.0,95182.0,17.0,44.0,659.0,316.0,3.0,45.0,0.0,30.0,23.0,2.0,2.0,12.0,1.0,1.8,11.463546127272155,5.755742213586912,3,3,3,9
3615,913.0,60.0,18.0,84197.0,18.0,59.0,716.0,230.0,14.0,52.0,6.0,34.0,1.0,8.0,10.0,18.0,2.0,2.5,11.340914570141992,5.438079308923196,3,2,3,8
3616,1116.0,57.0,16.0,74339.0,23.0,88.0,1020.0,286.0,4.0,45.0,8.0,22.0,8.0,17.0,41.0,16.0,3.0,3.1,11.216390992052402,5.655991810819852,3,1,3,7
3617,699.0,55.0,19.0,87593.0,17.0,50.0,652.0,257.0,12.0,57.0,5.0,29.0,0.0,9.0,1.0,32.0,4.0,1.9,11.380456365055815,5.54907608489522,3,3,3,9
3618,679.0,60.0,15.0,83267.0,14.0,3.0,481.0,122.0,16.0,42.0,10.0,36.0,8.0,4.0,11.0,41.0,4.0,1.9,11.329807591200053,4.804021044733257,3,4,3,10
3619,895.0,71.0,18.0,119140.0,37.0,37.0,1916.0,1130.0,1.0,44.0,8.0,31.0,8.0,9.0,6.0,18.0,2.0,2.5,11.68805455118268,7.029972911706386,4,3,4,11
3620,1101.0,68.0,20.0,97465.0,30.0,76.0,1475.0,879.0,2.0,52.0,5.0,37.0,0.0,5.0,3.0,12.0,2.0,3.0,11.487248618180246,6.778784897685177,4,2,4,10
3621,655.0,57.0,15.0,85618.0,14.0,47.0,490.0,213.0,6.0,28.0,3.0,43.0,20.0,6.0,7.0,35.0,3.0,1.8,11.357650820397847,5.3612921657094255,3,3,3,9
3622,1217.0,70.0,18.0,105359.0,37.0,45.0,1917.0,856.0,1.0,62.0,5.0,30.0,2.0,2.0,5.0,21.0,4.0,3.3,11.565128845104088,6.752270376141742,4,3,4,11
3623,1107.0,67.0,18.0,103865.0,33.0,45.0,1668.0,571.0,1.0,37.0,8.0,47.0,2.0,6.0,15.0,11.0,1.0,3.0,11.550847257968785,6.3473892096560105,4,3,4,11
3624,777.0,26.0,16.0,28648.0,5.0,31.0,76.0,14.0,24.0,72.0,5.0,16.0,3.0,5.0,16.0,33.0,5.0,2.1,10.26283891167827,2.6390573296152584,2,3,2,7
3625,726.0,31.0,16.0,63852.0,3.0,94.0,65.0,7.0,34.0,45.0,1.0,45.0,1.0,8.0,7.0,61.0,5.0,2.0,11.064323184384369,1.9459101490553132,1,1,2,4
3626,963.0,74.0,18.0,104329.0,22.0,64.0,952.0,198.0,19.0,81.0,2.0,15.0,1.0,1.0,1.0,32.0,4.0,2.6,11.555304646445313,5.288267030694535,3,2,3,8
3627,964.0,37.0,20.0,58831.0,11.0,62.0,347.0,26.0,38.0,82.0,0.0,16.0,0.0,2.0,15.0,52.0,8.0,2.6,10.982424205844241,3.258096538021482,2,2,2,6
3628,753.0,46.0,17.0,58528.0,3.0,6.0,64.0,-2.0,53.0,51.0,6.0,31.0,9.0,3.0,4.0,34.0,5.0,2.1,10.977260551190593,0.0,1,4,1,6
3629,1076.0,28.0,18.0,38374.0,5.0,76.0,84.0,0.0,51.0,55.0,6.0,31.0,3.0,5.0,66.0,62.0,7.0,2.9,10.555135425918044,0.0,2,2,2,6
3630,660.0,68.0,16.0,92647.0,21.0,90.0,892.0,367.0,1.0,18.0,13.0,43.0,14.0,12.0,2.0,13.0,1.0,1.8,11.436551851264818,5.905361848054571,3,1,3,7
3631,787.0,48.0,18.0,66241.0,13.0,66.0,438.0,14.0,45.0,94.0,0.0,6.0,0.0,0.0,5.0,57.0,7.0,2.2,11.101054885563546,2.6390573296152584,3,2,3,8
3632,897.0,30.0,15.0,30899.0,3.0,94.0,53.0,-2.0,56.0,35.0,3.0,47.0,5.0,10.0,13.0,52.0,8.0,2.5,10.338479099902614,0.0,1,1,1,3
3633,734.0,73.0,14.0,108058.0,29.0,0.0,1409.0,787.0,1.0,32.0,18.0,38.0,4.0,7.0,18.0,16.0,1.0,2.0,11.590423398990612,6.668228248417403,4,4,4,12
3634,1190.0,40.0,18.0,64412.0,19.0,56.0,771.0,184.0,12.0,82.0,1.0,16.0,1.0,1.0,8.0,64.0,9.0,3.3,11.073055230137888,5.214935757608986,3,2,3,8
3635,794.0,72.0,16.0,97939.0,39.0,98.0,2048.0,594.0,2.0,44.0,3.0,37.0,7.0,8.0,1.0,16.0,3.0,2.2,11.492100114871326,6.386879319362645,4,1,4,9
3636,1044.0,29.0,16.0,45348.0,4.0,66.0,92.0,-2.0,53.0,54.0,2.0,38.0,3.0,3.0,8.0,58.0,7.0,2.9,10.722121353137489,0.0,1,2,2,5
3637,751.0,19.0,13.0,32792.0,2.0,94.0,19.0,-1.0,59.0,8.0,16.0,35.0,39.0,3.0,52.0,59.0,5.0,2.1,10.397939862184174,0.0,1,1,1,3
3638,1203.0,63.0,15.0,90072.0,30.0,91.0,1466.0,628.0,13.0,27.0,8.0,43.0,18.0,3.0,24.0,23.0,5.0,3.3,11.408364629482966,6.4425401664681985,4,1,4,9
3639,899.0,51.0,14.0,63609.0,5.0,36.0,116.0,9.0,38.0,60.0,4.0,26.0,7.0,3.0,28.0,61.0,7.0,2.5,11.06051024875066,2.1972245773362196,2,3,2,7
3640,1111.0,39.0,14.0,46345.0,1.0,16.0,19.0,-5.0,83.0,66.0,5.0,17.0,7.0,5.0,15.0,63.0,8.0,3.0,10.743868690309933,0.0,1,4,1,6
3641,655.0,31.0,19.0,60050.0,2.0,98.0,41.0,7.0,15.0,34.0,3.0,48.0,7.0,8.0,25.0,66.0,6.0,1.8,11.002932827508129,1.9459101490553132,1,1,1,3
3642,907.0,33.0,16.0,55327.0,12.0,45.0,383.0,82.0,14.0,30.0,13.0,39.0,9.0,9.0,18.0,64.0,8.0,2.5,10.921016314288448,4.406719247264253,2,3,2,7
3643,969.0,59.0,20.0,83443.0,21.0,74.0,896.0,302.0,17.0,80.0,3.0,13.0,2.0,2.0,6.0,30.0,4.0,2.7,11.331919043007233,5.71042701737487,3,2,3,8
3644,834.0,63.0,16.0,96905.0,24.0,65.0,1087.0,464.0,6.0,57.0,5.0,24.0,9.0,5.0,5.0,18.0,1.0,2.3,11.481486396134848,6.139884552226255,3,2,4,9
3645,1175.0,29.0,14.0,47077.0,13.0,59.0,431.0,0.0,50.0,12.0,1.0,40.0,14.0,34.0,40.0,59.0,8.0,3.2,10.759539838018519,0.0,3,2,3,8
3646,1073.0,19.0,13.0,33364.0,1.0,252.0,20.0,0.0,45.0,9.0,19.0,50.0,7.0,15.0,13.0,56.0,7.0,2.9,10.415232753361503,0.0,1,1,1,3
3647,930.0,56.0,16.0,74856.0,27.0,2.0,1273.0,626.0,4.0,70.0,4.0,20.0,4.0,2.0,4.0,30.0,6.0,2.5,11.223321546955749,6.439350371100098,4,4,4,12
3648,925.0,37.0,18.0,60114.0,6.0,78.0,154.0,-47.0,76.0,76.0,0.0,16.0,4.0,4.0,16.0,47.0,5.0,2.5,11.003998038487318,0.0,2,2,2,6
3649,952.0,51.0,15.0,72385.0,19.0,0.0,766.0,253.0,19.0,60.0,5.0,25.0,7.0,3.0,1.0,66.0,8.0,2.6,11.189754374588144,5.53338948872752,3,4,3,10
3650,1096.0,18.0,12.0,14749.0,2.0,2.0,26.0,3.0,38.0,12.0,39.0,20.0,4.0,24.0,31.0,34.0,6.0,3.0,9.598930562859502,1.0986122886681098,1,4,1,6
3651,651.0,37.0,14.0,40165.0,1.0,210.0,11.0,-3.0,83.0,35.0,15.0,22.0,19.0,9.0,3.0,57.0,7.0,1.8,10.600751248607914,0.0,1,1,1,3
3652,797.0,31.0,19.0,52898.0,6.0,18.0,153.0,14.0,35.0,79.0,1.0,15.0,3.0,2.0,48.0,69.0,8.0,2.2,10.876120809948317,2.6390573296152584,2,4,2,8
3653,685.0,72.0,18.0,105123.0,31.0,84.0,1531.0,459.0,2.0,37.0,2.0,49.0,7.0,5.0,5.0,17.0,2.0,1.9,11.562886372123998,6.129050210060545,4,1,4,9
3654,881.0,66.0,19.0,76480.0,16.0,63.0,602.0,303.0,5.0,41.0,5.0,45.0,4.0,5.0,1.0,14.0,2.0,2.4,11.244784547725283,5.713732805509369,3,2,3,8
3655,673.0,32.0,18.0,46787.0,6.0,14.0,149.0,28.0,30.0,53.0,9.0,24.0,7.0,8.0,18.0,25.0,3.0,1.8,10.753360665540567,3.332204510175204,2,4,2,8
3656,1093.0,47.0,17.0,74728.0,17.0,9.0,649.0,236.0,9.0,89.0,0.0,10.0,0.0,0.0,8.0,57.0,8.0,3.0,11.221610133552685,5.4638318050256105,3,4,3,10
3657,754.0,69.0,14.0,106833.0,24.0,27.0,1087.0,358.0,3.0,39.0,6.0,22.0,17.0,16.0,14.0,19.0,1.0,2.1,11.57902214654508,5.8805329864007,3,3,4,10
3658,1046.0,67.0,15.0,96701.0,26.0,12.0,1215.0,522.0,5.0,18.0,27.0,44.0,3.0,8.0,8.0,16.0,2.0,2.9,11.47937902264955,6.257667587882639,4,4,4,12
3659,829.0,44.0,18.0,63740.0,3.0,29.0,50.0,-5.0,67.0,86.0,0.0,13.0,0.0,0.0,16.0,65.0,7.0,2.3,11.062567587971328,0.0,1,3,1,5
3660,1054.0,68.0,15.0,90935.0,26.0,32.0,1215.0,355.0,2.0,21.0,14.0,45.0,16.0,4.0,10.0,28.0,4.0,2.9,11.417900244561118,5.872117789475416,4,3,4,11
3661,834.0,55.0,18.0,69575.0,12.0,36.0,387.0,55.0,35.0,65.0,10.0,15.0,0.0,9.0,12.0,38.0,4.0,2.3,11.150160586394092,4.007333185232471,2,3,3,8
3662,850.0,52.0,18.0,78417.0,6.0,11.0,150.0,20.0,38.0,74.0,1.0,23.0,0.0,2.0,18.0,52.0,5.0,2.3,11.269796019567506,2.995732273553991,2,4,2,8
3663,922.0,73.0,14.0,109705.0,32.0,68.0,1595.0,466.0,2.0,30.0,10.0,37.0,3.0,20.0,2.0,16.0,2.0,2.5,11.605550224076051,6.144185634125646,4,2,4,10
3664,798.0,52.0,20.0,72705.0,12.0,60.0,392.0,78.0,21.0,85.0,1.0,12.0,1.0,1.0,1.0,55.0,7.0,2.2,11.194165436947586,4.356708826689592,2,2,3,7
3665,1231.0,19.0,13.0,30949.0,3.0,16.0,64.0,5.0,30.0,6.0,3.0,18.0,34.0,39.0,71.0,58.0,8.0,3.4,10.34009596741305,1.6094379124341003,1,4,1,6
3666,986.0,72.0,18.0,89470.0,22.0,13.0,954.0,357.0,16.0,64.0,4.0,26.0,2.0,3.0,6.0,57.0,7.0,2.7,11.401658652541641,5.877735781779639,3,4,3,10
3667,885.0,33.0,17.0,60376.0,13.0,83.0,431.0,95.0,19.0,34.0,2.0,50.0,4.0,10.0,19.0,67.0,9.0,2.4,11.008346953964704,4.553876891600541,3,1,3,7
3668,759.0,71.0,17.0,109946.0,32.0,78.0,1594.0,739.0,1.0,16.0,3.0,36.0,25.0,20.0,1.0,15.0,1.0,2.1,11.607744615148327,6.6052979209482015,4,2,4,10
3669,909.0,54.0,18.0,92165.0,21.0,47.0,888.0,243.0,5.0,91.0,0.0,8.0,0.0,0.0,16.0,58.0,7.0,2.5,11.431335727930273,5.493061443340548,3,3,3,9
3670,557.0,58.0,15.0,107454.0,22.0,31.0,951.0,222.0,12.0,34.0,2.0,23.0,14.0,27.0,8.0,36.0,3.0,1.5,11.584818127994794,5.402677381872279,3,3,3,9
3671,734.0,30.0,17.0,51147.0,5.0,74.0,120.0,-8.0,58.0,33.0,0.0,47.0,13.0,7.0,12.0,54.0,7.0,2.0,10.842459118633341,0.0,2,2,2,6
3672,681.0,47.0,17.0,63877.0,11.0,68.0,347.0,27.0,38.0,62.0,5.0,25.0,4.0,4.0,37.0,39.0,5.0,1.9,11.06471463817042,3.295836866004329,2,2,2,6
3673,855.0,45.0,18.0,44230.0,3.0,1.0,66.0,25.0,19.0,90.0,1.0,7.0,1.0,2.0,38.0,49.0,5.0,2.3,10.697158570862372,3.2188758248682006,1,4,2,7
3674,711.0,41.0,16.0,34116.0,4.0,30.0,38.0,-9.0,86.0,49.0,17.0,22.0,1.0,10.0,6.0,37.0,3.0,1.9,10.437521761439,0.0,1,3,1,5
3675,873.0,72.0,19.0,103644.0,23.0,11.0,1022.0,347.0,3.0,27.0,3.0,56.0,8.0,5.0,8.0,13.0,1.0,2.4,11.548717229068286,5.849324779946859,3,4,3,10
3676,943.0,27.0,18.0,47304.0,7.0,80.0,185.0,8.0,41.0,44.0,6.0,44.0,4.0,2.0,9.0,64.0,9.0,2.6,10.764350137500665,2.0794415416798357,2,1,2,5
3677,1140.0,21.0,15.0,35696.0,6.0,19.0,153.0,-14.0,66.0,9.0,44.0,33.0,12.0,2.0,11.0,67.0,9.0,3.1,10.482793916672314,0.0,2,4,2,8
3678,946.0,31.0,19.0,38913.0,3.0,91.0,53.0,-1.0,53.0,39.0,6.0,38.0,6.0,11.0,13.0,62.0,8.0,2.6,10.569083664008783,0.0,1,1,1,3
3679,581.0,30.0,16.0,51581.0,3.0,80.0,65.0,11.0,26.0,38.0,10.0,42.0,7.0,3.0,16.0,73.0,8.0,1.6,10.850908666606845,2.3978952727983707,1,1,2,4
3680,623.0,37.0,14.0,38276.0,3.0,60.0,35.0,-4.0,70.0,52.0,13.0,23.0,9.0,2.0,5.0,44.0,5.0,1.7,10.552578346899153,0.0,1,2,1,4
3681,1149.0,21.0,15.0,31920.0,5.0,64.0,120.0,9.0,35.0,7.0,11.0,23.0,7.0,52.0,26.0,60.0,8.0,3.1,10.370988051563746,2.1972245773362196,2,2,2,6
3682,562.0,56.0,17.0,89758.0,12.0,70.0,393.0,113.0,7.0,66.0,9.0,15.0,8.0,3.0,21.0,20.0,1.0,1.5,11.404872438868356,4.727387818712341,2,2,3,7
3683,903.0,75.0,18.0,92216.0,26.0,68.0,1206.0,375.0,1.0,49.0,9.0,30.0,9.0,3.0,4.0,12.0,2.0,2.5,11.431888930280849,5.926926025970411,4,2,4,10
3684,935.0,23.0,17.0,32036.0,3.0,7.0,44.0,-2.0,60.0,34.0,17.0,27.0,20.0,2.0,13.0,68.0,8.0,2.6,10.374615549443574,0.0,1,4,1,6
3685,767.0,27.0,16.0,38847.0,2.0,44.0,41.0,-4.0,62.0,22.0,2.0,66.0,5.0,6.0,23.0,65.0,8.0,2.1,10.56738613273695,0.0,1,3,1,5
3686,1038.0,24.0,16.0,29727.0,2.0,74.0,31.0,-4.0,80.0,15.0,6.0,55.0,10.0,14.0,21.0,70.0,9.0,2.8,10.29981100272701,0.0,1,2,1,4
3687,745.0,67.0,17.0,117264.0,36.0,65.0,1853.0,691.0,0.0,35.0,8.0,34.0,12.0,11.0,10.0,6.0,1.0,2.0,11.672183082165631,6.53813982376767,4,2,4,10
3688,1151.0,58.0,19.0,72773.0,15.0,0.0,539.0,141.0,18.0,65.0,4.0,26.0,1.0,4.0,11.0,25.0,4.0,3.2,11.195100286271227,4.948759890378168,3,4,3,10
3689,590.0,26.0,14.0,54679.0,3.0,31.0,65.0,7.0,28.0,23.0,14.0,40.0,14.0,9.0,65.0,56.0,5.0,1.6,10.90923500244827,1.9459101490553132,1,3,2,6
3690,660.0,30.0,14.0,52565.0,2.0,33.0,24.0,5.0,16.0,17.0,0.0,39.0,20.0,23.0,53.0,62.0,4.0,1.8,10.869805778009932,1.6094379124341003,1,3,1,5
3691,1017.0,63.0,20.0,87577.0,25.0,92.0,1145.0,246.0,14.0,56.0,6.0,30.0,2.0,6.0,5.0,28.0,4.0,2.8,11.380273685372714,5.5053315359323625,4,1,4,9
3692,610.0,74.0,16.0,106273.0,25.0,78.0,1148.0,341.0,1.0,35.0,3.0,49.0,11.0,2.0,11.0,25.0,2.0,1.7,11.573766533948522,5.831882477283517,4,2,4,10
3693,863.0,32.0,20.0,37199.0,4.0,58.0,64.0,-10.0,82.0,55.0,2.0,39.0,1.0,3.0,6.0,63.0,7.0,2.4,10.524037158179487,0.0,1,2,1,4
3694,1227.0,70.0,18.0,111687.0,35.0,71.0,1796.0,527.0,2.0,47.0,5.0,38.0,6.0,4.0,2.0,9.0,2.0,3.4,11.623455595115042,6.267200548541362,4,2,4,10
3695,620.0,72.0,15.0,101065.0,30.0,19.0,1468.0,547.0,2.0,25.0,19.0,30.0,12.0,14.0,1.0,10.0,1.0,1.7,11.523519153181098,6.304448802421981,4,4,4,12
